date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:29	40383/40383	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:19%20GMT	https://klassenresearch.orbs.com/Plotting+with+Python	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Plotting+with+Python.html	(from )
18:07:31	453/453	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Nov%202013%2017:07:22%20GMT	https://klassenresearch.orbs.com/robots.txt		(from )
18:07:33	242/242	---MC-	200	added ('OK')	text/css	date:Fri,%2029%20Nov%202013%2017:07:23%20GMT	https://klassenresearch.orbs.com/$widget2/lib.framework.withus/css/LIB.lib.framework.withus.css?145f77e3	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/$widget2/lib.framework.withus/css/LIB.lib.framework.withus36fc.css	(from )
18:07:35	21557/21557	---MC-	200	added ('OK')	text/css	date:Fri,%2029%20Nov%202013%2017:07:26%20GMT	https://klassenresearch.orbs.com/$widget2/lib.framework.withus.css/css/LIB.lib.framework.withus.css.css?-43e66acb	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/$widget2/lib.framework.withus.css/css/LIB.lib.framework.withus.cssbcc1.css	(from )
18:07:36	2545/2545	---MC-	200	added ('OK')	text/css	date:Fri,%2029%20Nov%202013%2017:07:26%20GMT	https://klassenresearch.orbs.com/$widget2/lib.withus.css.wu_formatted/css/LIB.lib.withus.css.wu_formatted.css?25926794	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/$widget2/lib.withus.css.wu_formatted/css/LIB.lib.withus.css.wu_formatted888e.css	(from )
18:07:38	1059/1059	---MC-	200	added ('OK')	text/css	date:Fri,%2029%20Nov%202013%2017:07:27%20GMT	https://klassenresearch.orbs.com/$widget2/lib.ui.popup.win/css/LIB.lib.ui.popup.win.css?269e8757	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/$widget2/lib.ui.popup.win/css/LIB.lib.ui.popup.win213b.css	(from )
18:07:38	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Nov%202013%2017:07:29%20GMT	http://klassenresearch.orbs.com/_userauth/password?finish_url=http://klassenresearch.orbs.com/Plotting+with+Python	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/_userauth/password.54cc1.delayed	(from )
18:07:38	11035/11035	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:29%20GMT	https://klassenresearch.orbs.com/_userauth/password?finish_url=http%3A%2F%2Fklassenresearch.orbs.com%2FPlotting+with+Python	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/_userauth/passwordf965.html	(from )
18:07:40	36222/36222	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:30%20GMT	https://klassenresearch.orbs.com/Home	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Home.html	(from )
18:07:41	33178/33178	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:31%20GMT	https://klassenresearch.orbs.com/Python	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Python.html	(from )
18:07:42	36338/36338	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:33%20GMT	https://klassenresearch.orbs.com/Research	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Research.html	(from )
18:07:43	42377/42377	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:34%20GMT	https://klassenresearch.orbs.com/Curriculum+Vitae	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Curriculum+Vitae.html	(from )
18:07:44	35570/35570	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:35%20GMT	https://klassenresearch.orbs.com/Other+Activities	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Other+Activities.html	(from )
18:07:45	36210/36210	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:35%20GMT	https://klassenresearch.orbs.com/Astronomy+Resources	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Astronomy+Resources.html	(from )
18:07:47	33553/33553	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:37%20GMT	https://klassenresearch.orbs.com/Design	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Design.html	(from )
18:07:49	33197/33197	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:39%20GMT	https://klassenresearch.orbs.com/IDL+Tips	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/IDL+Tips.html	(from )
18:07:50	35834/35834	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:40%20GMT	https://klassenresearch.orbs.com/Run+an+IDL+script+at+startup	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Run+an+IDL+script+at+startup.html	(from )
18:07:51	34775/34775	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:41%20GMT	https://klassenresearch.orbs.com/Emulate+linspace+and+logspace	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Emulate+linspace+and+logspace.html	(from )
18:07:53	33883/33883	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:43%20GMT	https://klassenresearch.orbs.com/UNIX+Tips	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/UNIX+Tips.html	(from )
18:07:54	36061/36061	---MC-	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202013%2017:07:44%20GMT	https://klassenresearch.orbs.com/Timing+a+program+from+the+shell	/home/michal/websites/%20python_plotting/klassenresearch.orbs.com/Timing+a+program+from+the+shell.html	(from )
